BVDID,nace_main_section,nace_core_code,NACE_prim,NACE_sec
HR18556905592,,,,2550.0
HR18556905592,,,,2561.0
HR18556905592,,,,2571.0
HR18556905592,,,,2811.0
HR18556905592,,,,2822.0
HR18556905592,,,,
HR18556905592,,,,
HR18556905592,,,,
HR18556905592,,,,
HR18556905592,,,,
HR18556905592,,,,
HR18556905592,,,,
HR18556905592,,,,
HR18556905592,,,,
HR54431828108,H - Transportation and storage,5020.0,5020.0,
HU10799079,H - Transportation and storage,5110.0,5110.0,3319.0
HU10799079,,,,3320.0
HU10799079,,,,3811.0
HU10799079,,,,3812.0
HU10799079,,,,3821.0
HU10799079,,,,3822.0
HU10799079,,,,3832.0
HU10799079,,,,4321.0
HU10799079,,,,4322.0
HU10799079,,,,4329.0
HU10799079,,,,4331.0
HU10799079,,,,4332.0
HU10799079,,,,4333.0
HU10799079,,,,4334.0
HU10799079,,,,4391.0
HU10799079,,,,4399.0
HU10799079,,,,4612.0
HU10799079,,,,4614.0
HU10799079,,,,4618.0
HU10799079,,,,
HU10799079,,,,
HU10799079,,,,
HU10799079,,,,
IT00110990330,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,4673.0,4673.0,
IT00124390402,S - Other service activities,9604.0,9604.0,
IT00145630356,C - Manufacturing,1419.0,1419.0,4642.0
IT00145630356,,,,
IT00198140261,C - Manufacturing,2813.0,2813.0,
IT00198140261,,,,
IT00230890949,C - Manufacturing,1413.0,1413.0,
IT00230890949,,,,
IT00230890949,,,,
IT00230890949,,,,
IT00390120426,H - Transportation and storage,5223.0,5223.0,
IT00399810589,C - Manufacturing,1812.0,1812.0,
IT00481000586,F - Construction,4299.0,4299.0,4211.0
IT00481000586,,,,4213.0
IT00607320801,H - Transportation and storage,5223.0,5223.0,
IT00636420226,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,4771.0,4771.0,
IT00636420226,,,,
IT00693740425,C - Manufacturing,2751.0,2751.0,2751.0
IT00693740425,,,2752.0,
IT00693740425,,,,
IT00832450639,H - Transportation and storage,5000.0,5000.0,
IT01201520416,C - Manufacturing,3100.0,3100.0,
IT01498640935,L - Real estate activities,6810.0,6810.0,
IT01572180766,J - Information and communication,6201.0,6201.0,
IT01623300181,N - Administrative and support service activities,7910.0,7910.0,
IT01706330519,C - Manufacturing,2511.0,2511.0,
IT02457860126,H - Transportation and storage,5223.0,5223.0,
IT02560670123,F - Construction,4321.0,4321.0,
IT02934390929,"E - Water supply; sewerage, waste management and remediation activities",3600.0,3600.0,
IT03075630925,B - Mining and quarrying,891.0,891.0,
